Bankleitzahl,Bezeichnung,BIC
14052000,Sparkasse Mecklenburg-Schwerin,
14052000,Sparkasse Mecklenburg-Schwerin,
14052000,Sparkasse Mecklenburg-Schwerin,
14052000,Sparkasse Mecklenburg-Schwerin,
14052000,Sparkasse Mecklenburg-Schwerin,
14052000,Sparkasse Mecklenburg-Schwerin,
14052000,Sparkasse Mecklenburg-Schwerin,
14052000,Sparkasse Mecklenburg-Schwerin,
14052000,Sparkasse Mecklenburg-Schwerin,
14052000,Sparkasse Mecklenburg-Schwerin,
14061308,Volks- und Raiffeisenbank,GENODEF1GUE
14061308,Volks- und Raiffeisenbank,
14061308,Volks- und Raiffeisenbank,
14061308,Volks- und Raiffeisenbank,
14061308,Volks- und Raiffeisenbank,
14061308,Volks- und Raiffeisenbank,
14061308,Volks- und Raiffeisenbank,
14061308,Volks- und Raiffeisenbank,
14061308,Volks- und Raiffeisenbank,
14061308,Volks- und Raiffeisenbank,
14061308,Volks- und Raiffeisenbank,
14061308,Volks- und Raiffeisenbank,
14061308,Volks- und Raiffeisenbank,
14061308,Volks- und Raiffeisenbank,
14061308,Volks- und Raiffeisenbank (Gf P2),
14061438,Raiffeisen-Volksbank -alt-,GENODEF1GDB
14080000,Commerzbank vormals Dresdner Bank,DRESDEFF140
14080000,Commerzbank vormals Dresdner Bank,
14080000,Commerzbank vormals Dresdner Bank,
14080011,Commerzbank vormals Dresdner Bank Zw W,DRESDEFFI27
14091464,VR-Bank,GENODEF1SN1
14091464,VR-Bank,
14091464,VR-Bank (Gf P2),
14091464,VR-Bank Schwerin,
15000000,Bundesbank,MARKDEF1150
15040068,Commerzbank,COBADEFF151
15040068,Commerzbank,COBADEFF150
15040068,Commerzbank,COBADEFF152
15040068,Commerzbank,COBADEFF153
15040068,Commerzbank,
15040068,Commerzbank,
15050100,Müritz-Sparkasse,NOLADE21WRN
15050100,Müritz-Sparkasse Fil,
15050200,Sparkasse Neubrandenburg-Demmin,NOLADE21NBS
15050200,Sparkasse Neubrandenburg-Demmin,
15050200,Sparkasse Neubrandenburg-Demmin,
15050200,Sparkasse Neubrandenburg-Demmin,
15050200,Sparkasse Neubrandenburg-Demmin,
15050200,Sparkasse Neubrandenburg-Demmin,
15050200,Sparkasse Neubrandenburg-Demmin,
15050200,Sparkasse Neubrandenburg-Demmin,
15050200,Sparkasse Neubrandenburg-Demmin,
15050200,Sparkasse Neubrandenburg-Demmin,
15050400,Sparkasse Uecker-Randow,NOLADE21PSW
15050400,Sparkasse Uecker-Randow,
15050400,Sparkasse Uecker-Randow Gs,
15050400,Sparkasse Uecker-Randow Gs,
15050400,Sparkasse Uecker-Randow Gs,
15050400,Sparkasse Uecker-Randow Gs,
15050400,Sparkasse Uecker-Randow Gs,
15050400,Sparkasse Uecker-Randow Gs,
15050400,Sparkasse Uecker-Randow Gs,
15050500,Sparkasse Vorpommern,NOLADE21GRW
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15050500,Sparkasse Vorpommern,
15051732,Sparkasse Mecklenburg-Strelitz,NOLADE21MST
15051732,Sparkasse Mecklenburg-Strelitz,
15051732,Sparkasse Mecklenburg-Strelitz,
15051732,Sparkasse Mecklenburg-Strelitz,
15051732,Sparkasse Mecklenburg-Strelitz Gs,
15051732,Sparkasse Mecklenburg-Strelitz Gs,
15051732,Sparkasse Mecklenburg-Strelitz Gs,
15061618,Raiffeisenbank Mecklenburger Seenplatte,GENODEF1WRN
15061618,Raiffeisenbank Mecklenburger Seenplatte,
15061618,Raiffeisenbank Mecklenburger Seenplatte,
15061618,Raiffeisenbank Mecklenburger Seenplatte,
15061618,Raiffeisenbank Mecklenburger Seenplatte,
15061618,Raiffeisenbank Mecklenburger Seenplatte,
15061618,Raiffeisenbank Mecklenburger Seenplatte,
15061618,Raiffeisenbank Mecklenburger Seenplatte,
15061618,Raiffeisenbank Mecklenburger Seenplatte,
15061618,Raiffeisenbank Mecklenburger Seenplatte,
15061618,Raiffeisenbank Mecklenburger Seenplatte,
15061618,Raiffeisenbank Mecklenburger Seenplatte,
15061618,Raiffeisenbank Mecklenburger Seenplatte,
15061618,Raiffeisenbank Mecklenburger Seenplatte,
15061618,Raiffeisenbank Mecklenburger Seenplatte (Gf P2),
15061638,Volksbank Raiffeisenbank,GENODEF1ANK
15061638,Volksbank Raiffeisenbank,
15061638,Volksbank Raiffeisenbank,
15061638,Volksbank Raiffeisenbank,
15061638,Volksbank Raiffeisenbank,
15061638,Volksbank Raiffeisenbank,
15061638,Volksbank Raiffeisenbank,
15061638,Volksbank Raiffeisenbank,
15061638,Volksbank Raiffeisenbank,
15061638,Volksbank Raiffeisenbank,
15061638,Volksbank Raiffeisenbank,
15061638,Volksbank Raiffeisenbank,
15061638,Volksbank Raiffeisenbank (Gf P2),
15061658,Raiffeisenbank Pasewalk-Strasburg -alt-,GENODEF1STG
15061658,Raiffeisenbank Pasewalk-Strasburg,
15061658,Raiffeisenbank Pasewalk-Strasburg,
15061658,Raiffeisenbank Pasewalk-Strasburg,
15061658,Raiffeisenbank Pasewalk-Strasburg,
15061658,Raiffeisenbank Pasewalk-Strasburg,
15061658,Raiffeisenbank Pasewalk-Strasburg,
15061658,Raiffeisenbank Pasewalk-Strasburg (Gf P2),
15061698,Raiffeisenbank Malchin,GENODEF1MAL
15061698,Raiffeisenbank Malchin,
15061698,Raiffeisenbank Malchin,
15061698,Raiffeisenbank Malchin,
15061698,Raiffeisenbank Malchin,
15061698,Raiffeisenbank Malchin,
15061698,Raiffeisenbank Malchin (Gf P2),
15080000,Commerzbank vormals Dresdner Bank,DRESDEFF150
15080000,Commerzbank vormals Dresdner Bank,
15080000,Commerzbank vormals Dresdner Bank,
15080000,Commerzbank vormals Dresdner Bank,
15080000,Commerzbank vormals Dresdner Bank,
15091674,Volksbank Demmin,GENODEF1DM1
